Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Nacionalitat,Nombre
2018,1,Ciutat Vella,1,el Raval,1 espanyol,5895
2018,1,Ciutat Vella,2,el Barri Gòtic,1 espanyol,2312
2018,1,Ciutat Vella,3,la Barceloneta,1 espanyol,2361
2018,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1 espanyol,3791
2018,2,Eixample,5,el Fort Pienc,1 espanyol,4215
2018,2,Eixample,6,la Sagrada Família,1 espanyol,7551
2018,2,Eixample,7,la Dreta de l'Eixample,1 espanyol,6312
2018,2,Eixample,8,l'Antiga Esquerra de l'Eixample,1 espanyol,6519
2018,2,Eixample,9,la Nova Esquerra de l'Eixample,1 espanyol,8507
2018,2,Eixample,10,Sant Antoni,1 espanyol,5901
2018,3,Sants-Montjuïc,11,el Poble Sec,1 espanyol,5543
2018,3,Sants-Montjuïc,12,la Marina del Prat Vermell,1 espanyol,176
2018,3,Sants-Montjuïc,13,la Marina de Port,1 espanyol,3409
2018,3,Sants-Montjuïc,14,la Font de la Guatlla,1 espanyol,1454
2018,3,Sants-Montjuïc,15,Hostafrancs,1 espanyol,2256
2018,3,Sants-Montjuïc,16,la Bordeta,1 espanyol,2285
2018,3,Sants-Montjuïc,17,Sants - Badal,1 espanyol,3187
2018,3,Sants-Montjuïc,18,Sants,1 espanyol,5931
2018,4,Les Corts,19,les Corts,1 espanyol,5940
2018,4,Les Corts,20,la Maternitat i Sant Ramon,1 espanyol,2846
2018,4,Les Corts,21,Pedralbes,1 espanyol,1108
2018,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",1 espanyol,381
2018,5,Sarrià-Sant Gervasi,23,Sarrià,1 espanyol,2509
2018,5,Sarrià-Sant Gervasi,24,les Tres Torres,1 espanyol,1348
2018,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,1 espanyol,2686
2018,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,1 espanyol,5965
2018,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,1 espanyol,4148
2018,6,Gràcia,28,Vallcarca i els Penitents,1 espanyol,2097
2018,6,Gràcia,29,el Coll,1 espanyol,1008
2018,6,Gràcia,30,la Salut,1 espanyol,1776
2018,6,Gràcia,31,la Vila de Gràcia,1 espanyol,8704
2018,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,1 espanyol,5085
2018,7,Horta-Guinardó,33,el Baix Guinardó,1 espanyol,3661
2018,7,Horta-Guinardó,34,Can Baró,1 espanyol,1271
2018,7,Horta-Guinardó,35,el Guinardó,1 espanyol,5153
2018,7,Horta-Guinardó,36,la Font d'en Fargues,1 espanyol,971
2018,7,Horta-Guinardó,37,el Carmel,1 espanyol,3819
2018,7,Horta-Guinardó,38,la Teixonera,1 espanyol,1454
2018,7,Horta-Guinardó,39,Sant Genís dels Agudells,1 espanyol,928
2018,7,Horta-Guinardó,40,Montbau,1 espanyol,758
2018,7,Horta-Guinardó,41,la Vall d'Hebron,1 espanyol,699
2018,7,Horta-Guinardó,42,la Clota,1 espanyol,82
2018,7,Horta-Guinardó,43,Horta,1 espanyol,3236
2018,8,Nou Barris,44,Vilapicina i la Torre Llobeta,1 espanyol,3300
2018,8,Nou Barris,45,Porta,1 espanyol,3287
