Any,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Nacionalitat,Nombre
2019,1,Ciutat Vella,1,el Raval,1 espanyol,5858
2019,1,Ciutat Vella,2,el Barri Gòtic,1 espanyol,2271
2019,1,Ciutat Vella,3,la Barceloneta,1 espanyol,2328
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",1 espanyol,3722
2019,2,Eixample,5,el Fort Pienc,1 espanyol,4141
2019,2,Eixample,6,la Sagrada Família,1 espanyol,7575
2019,2,Eixample,7,la Dreta de l'Eixample,1 espanyol,6241
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,1 espanyol,6482
2019,2,Eixample,9,la Nova Esquerra de l'Eixample,1 espanyol,8474
2019,2,Eixample,10,Sant Antoni,1 espanyol,5847
2019,3,Sants-Montjuïc,11,el Poble Sec,1 espanyol,5589
2019,3,Sants-Montjuïc,12,la Marina del Prat Vermell,1 espanyol,174
2019,3,Sants-Montjuïc,13,la Marina de Port,1 espanyol,3486
2019,3,Sants-Montjuïc,14,la Font de la Guatlla,1 espanyol,1453
2019,3,Sants-Montjuïc,15,Hostafrancs,1 espanyol,2235
2019,3,Sants-Montjuïc,16,la Bordeta,1 espanyol,2359
2019,3,Sants-Montjuïc,17,Sants - Badal,1 espanyol,3220
2019,3,Sants-Montjuïc,18,Sants,1 espanyol,5955
2019,4,Les Corts,19,les Corts,1 espanyol,6048
2019,4,Les Corts,20,la Maternitat i Sant Ramon,1 espanyol,2875
2019,4,Les Corts,21,Pedralbes,1 espanyol,1090
2019,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",1 espanyol,381
2019,5,Sarrià-Sant Gervasi,23,Sarrià,1 espanyol,2473
2019,5,Sarrià-Sant Gervasi,24,les Tres Torres,1 espanyol,1379
2019,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,1 espanyol,2711
2019,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,1 espanyol,5905
2019,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,1 espanyol,4132
2019,6,Gràcia,28,Vallcarca i els Penitents,1 espanyol,2139
2019,6,Gràcia,29,el Coll,1 espanyol,1024
2019,6,Gràcia,30,la Salut,1 espanyol,1798
2019,6,Gràcia,31,la Vila de Gràcia,1 espanyol,8650
2019,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,1 espanyol,5104
2019,7,Horta-Guinardó,33,el Baix Guinardó,1 espanyol,3599
2019,7,Horta-Guinardó,34,Can Baró,1 espanyol,1296
2019,7,Horta-Guinardó,35,el Guinardó,1 espanyol,5193
2019,7,Horta-Guinardó,36,la Font d'en Fargues,1 espanyol,999
2019,7,Horta-Guinardó,37,el Carmel,1 espanyol,3858
2019,7,Horta-Guinardó,38,la Teixonera,1 espanyol,1486
2019,7,Horta-Guinardó,39,Sant Genís dels Agudells,1 espanyol,940
2019,7,Horta-Guinardó,40,Montbau,1 espanyol,763
2019,7,Horta-Guinardó,41,la Vall d'Hebron,1 espanyol,719
2019,7,Horta-Guinardó,42,la Clota,1 espanyol,93
2019,7,Horta-Guinardó,43,Horta,1 espanyol,3267
2019,8,Nou Barris,44,Vilapicina i la Torre Llobeta,1 espanyol,3338
2019,8,Nou Barris,45,Porta,1 espanyol,3297
2019,8,Nou Barris,46,el Turó de la Peira,1 espanyol,2171
2019,8,Nou Barris,47,Can Peguera,1 espanyol,328
2019,8,Nou Barris,48,la Guineueta,1 espanyol,1778
2019,8,Nou Barris,49,Canyelles,1 espanyol,730
2019,8,Nou Barris,50,les Roquetes,1 espanyol,1695
2019,8,Nou Barris,51,Verdun,1 espanyol,1727
2019,8,Nou Barris,52,la Prosperitat,1 espanyol,3314
2019,8,Nou Barris,53,la Trinitat Nova,1 espanyol,996
2019,8,Nou Barris,54,Torre Baró,1 espanyol,247
2019,8,Nou Barris,55,Ciutat Meridiana,1 espanyol,969
2019,8,Nou Barris,56,Vallbona,1 espanyol,121
2019,9,Sant Andreu,57,la Trinitat Vella,1 espanyol,960
2019,9,Sant Andreu,58,Baró de Viver,1 espanyol,310
2019,9,Sant Andreu,59,el Bon Pastor,1 espanyol,1203
2019,9,Sant Andreu,60,Sant Andreu,1 espanyol,6941
2019,9,Sant Andreu,61,la Sagrera,1 espanyol,3594
2019,9,Sant Andreu,62,el Congrés i els Indians,1 espanyol,1971
2019,9,Sant Andreu,63,Navas,1 espanyol,2815
2019,10,Sant Martí,64,el Camp de l'Arpa del Clot,1 espanyol,5550
