"Any","Codi_districte","Nom_districte","Codi_barri","Nom_barri","Nacionalitat","Nombre"
2020,1,"Ciutat Vella",1,"el Raval","Cap espanyol",5854
2020,1,"Ciutat Vella",2,"el Barri Gòtic","Cap espanyol",2438
2020,1,"Ciutat Vella",3,"la Barceloneta","Cap espanyol",2232
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Cap espanyol",3351
2020,2,"Eixample",5,"el Fort Pienc","Cap espanyol",1799
2020,2,"Eixample",6,"la Sagrada Família","Cap espanyol",2843
2020,2,"Eixample",7,"la Dreta de l'Eixample","Cap espanyol",3258
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Cap espanyol",2823
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Cap espanyol",2855
2020,2,"Eixample",10,"Sant Antoni","Cap espanyol",2136
2020,3,"Sants-Montjuïc",11,"el Poble Sec","Cap espanyol",3117
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Cap espanyol",31
2020,3,"Sants-Montjuïc",13,"la Marina de Port","Cap espanyol",921
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Cap espanyol",455
2020,3,"Sants-Montjuïc",15,"Hostafrancs","Cap espanyol",971
2020,3,"Sants-Montjuïc",16,"la Bordeta","Cap espanyol",563
2020,3,"Sants-Montjuïc",17,"Sants - Badal","Cap espanyol",934
2020,3,"Sants-Montjuïc",18,"Sants","Cap espanyol",1634
2020,4,"Les Corts",19,"les Corts","Cap espanyol",1430
2020,4,"Les Corts",20,"la Maternitat i Sant Ramon","Cap espanyol",671
2020,4,"Les Corts",21,"Pedralbes","Cap espanyol",488
2020,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Cap espanyol",163
2020,5,"Sarrià-Sant Gervasi",23,"Sarrià","Cap espanyol",802
2020,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Cap espanyol",364
2020,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Cap espanyol",790
2020,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Cap espanyol",1767
2020,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Cap espanyol",1280
2020,6,"Gràcia",28,"Vallcarca i els Penitents","Cap espanyol",637
2020,6,"Gràcia",29,"el Coll","Cap espanyol",294
2020,6,"Gràcia",30,"la Salut","Cap espanyol",474
2020,6,"Gràcia",31,"la Vila de Gràcia","Cap espanyol",3600
2020,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Cap espanyol",1435
2020,7,"Horta-Guinardó",33,"el Baix Guinardó","Cap espanyol",880
2020,7,"Horta-Guinardó",34,"Can Baró","Cap espanyol",372
2020,7,"Horta-Guinardó",35,"el Guinardó","Cap espanyol",1220
2020,7,"Horta-Guinardó",36,"la Font d'en Fargues","Cap espanyol",156
2020,7,"Horta-Guinardó",37,"el Carmel","Cap espanyol",1110
2020,7,"Horta-Guinardó",38,"la Teixonera","Cap espanyol",408
2020,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Cap espanyol",208
2020,7,"Horta-Guinardó",40,"Montbau","Cap espanyol",145
2020,7,"Horta-Guinardó",41,"la Vall d'Hebron","Cap espanyol",103
2020,7,"Horta-Guinardó",42,"la Clota","Cap espanyol",22
2020,7,"Horta-Guinardó",43,"Horta","Cap espanyol",502
2020,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Cap espanyol",633
2020,8,"Nou Barris",45,"Porta","Cap espanyol",713
2020,8,"Nou Barris",46,"el Turó de la Peira","Cap espanyol",595
2020,8,"Nou Barris",47,"Can Peguera","Cap espanyol",41
2020,8,"Nou Barris",48,"la Guineueta","Cap espanyol",196
2020,8,"Nou Barris",49,"Canyelles","Cap espanyol",58
2020,8,"Nou Barris",50,"les Roquetes","Cap espanyol",661
2020,8,"Nou Barris",51,"Verdun","Cap espanyol",480
2020,8,"Nou Barris",52,"la Prosperitat","Cap espanyol",709
2020,8,"Nou Barris",53,"la Trinitat Nova","Cap espanyol",273
2020,8,"Nou Barris",54,"Torre Baró","Cap espanyol",84
2020,8,"Nou Barris",55,"Ciutat Meridiana","Cap espanyol",548
2020,8,"Nou Barris",56,"Vallbona","Cap espanyol",36
