"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Nacionalitat","Nombre"
2021,1,"Ciutat Vella",1,"el Raval","1 espanyol",5880
2021,1,"Ciutat Vella",2,"el Barri Gòtic","1 espanyol",2230
2021,1,"Ciutat Vella",3,"la Barceloneta","1 espanyol",2379
2021,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","1 espanyol",3573
2021,2,"Eixample",5,"el Fort Pienc","1 espanyol",4149
2021,2,"Eixample",6,"la Sagrada Família","1 espanyol",7531
2021,2,"Eixample",7,"la Dreta de l'Eixample","1 espanyol",6168
2021,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","1 espanyol",6371
2021,2,"Eixample",9,"la Nova Esquerra de l'Eixample","1 espanyol",8441
2021,2,"Eixample",10,"Sant Antoni","1 espanyol",5739
2021,3,"Sants-Montjuïc",11,"el Poble Sec","1 espanyol",5515
2021,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","1 espanyol",206
2021,3,"Sants-Montjuïc",13,"la Marina de Port","1 espanyol",3568
2021,3,"Sants-Montjuïc",14,"la Font de la Guatlla","1 espanyol",1475
2021,3,"Sants-Montjuïc",15,"Hostafrancs","1 espanyol",2286
2021,3,"Sants-Montjuïc",16,"la Bordeta","1 espanyol",2387
2021,3,"Sants-Montjuïc",17,"Sants - Badal","1 espanyol",3292
2021,3,"Sants-Montjuïc",18,"Sants","1 espanyol",6057
2021,4,"Les Corts",19,"les Corts","1 espanyol",6020
2021,4,"Les Corts",20,"la Maternitat i Sant Ramon","1 espanyol",2957
2021,4,"Les Corts",21,"Pedralbes","1 espanyol",1088
2021,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","1 espanyol",382
2021,5,"Sarrià-Sant Gervasi",23,"Sarrià","1 espanyol",2441
2021,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","1 espanyol",1424
2021,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","1 espanyol",2749
2021,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","1 espanyol",5913
2021,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","1 espanyol",4121
2021,6,"Gràcia",28,"Vallcarca i els Penitents","1 espanyol",2197
2021,6,"Gràcia",29,"el Coll","1 espanyol",1059
2021,6,"Gràcia",30,"la Salut","1 espanyol",1805
2021,6,"Gràcia",31,"la Vila de Gràcia","1 espanyol",8532
2021,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","1 espanyol",5074
2021,7,"Horta-Guinardó",33,"el Baix Guinardó","1 espanyol",3627
2021,7,"Horta-Guinardó",34,"Can Baró","1 espanyol",1287
2021,7,"Horta-Guinardó",35,"el Guinardó","1 espanyol",5212
2021,7,"Horta-Guinardó",36,"la Font d'en Fargues","1 espanyol",1009
2021,7,"Horta-Guinardó",37,"el Carmel","1 espanyol",3891
2021,7,"Horta-Guinardó",38,"la Teixonera","1 espanyol",1520
2021,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","1 espanyol",963
2021,7,"Horta-Guinardó",40,"Montbau","1 espanyol",745
2021,7,"Horta-Guinardó",41,"la Vall d'Hebron","1 espanyol",722
2021,7,"Horta-Guinardó",42,"la Clota","1 espanyol",91
2021,7,"Horta-Guinardó",43,"Horta","1 espanyol",3299
2021,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","1 espanyol",3407
2021,8,"Nou Barris",45,"Porta","1 espanyol",3370
2021,8,"Nou Barris",46,"el Turó de la Peira","1 espanyol",2264
2021,8,"Nou Barris",47,"Can Peguera","1 espanyol",339
2021,8,"Nou Barris",48,"la Guineueta","1 espanyol",1862
2021,8,"Nou Barris",49,"Canyelles","1 espanyol",771
2021,8,"Nou Barris",50,"les Roquetes","1 espanyol",1726
2021,8,"Nou Barris",51,"Verdun","1 espanyol",1822
